date	meg_whitman	tim_cook	satya_nadella	marissa_mayer	larry_page	john_donahoe	mark_zuckerberg	dick_costolo	event
92	7.15	-2.14	6.16	-5.33	-19.66	-9.19	-51.96	5.94
93	6.44		7.48	-4.81		-10.58	-54.15	13.17	{"person":"mark_zuckerberg", "desc":"Share Price Falls to Half IPO Value","link":"http://www.bloomberg.com/news/articles/2012-08-16/facebook-freeing-60-percent-more-shares-seen-weighing-on-stock"}
94		-2.31	8.51	-3.67		-7.08
95			7.7	-3.75		-8.94
96				-4.41	-19.83		-51.84	9.6
97	5.23	-2.38			-19.27		-53.75	10.69
98	4.79	-2.69	6.98		-19.15		-53.17	16.25
99	5.57	-4.32	8.54	-4.04	-19.2	-9.9	-52.86	14.4	{"person":"marissa_mayer", "desc":"Beats Earning Expectations ","link":"http://techcrunch.com/2012/10/22/yahoo-posts-2012-q3-earnings/"}
100	6.5	-3.1	8.84	-3.65	-18.3	-11.52	-53.18	16.27	{"person":"meg_whitman", "desc":"Sex Scandal Involving Former CEO","link":"http://www.pcmag.com/article2/0,2817,2398231,00.asp"}
101		-2.69	7.93	-3.36		-3.32
102			7.99	-2.73		-6.64
103				-2.81	-18.87	-5.08	-53.86
104	8.24	-2.93			-18.94		-53.46	16.98
105	8.18	-3.21	6.85		-18.26		-54.1	12.51
106	6.9	-3.66	7.42	-4.66	-18.1	-4.54	-53.64	14
107	6.33	-1.3	8.32	-4.35	-18.32	-6.43	-56.4	12.68
108		-2.45	7.05	-3.42		-11.24
109			6.3	-2.99		-8.35
110	6.39			-1.81	-18.41	-20.05		11.62
111	6.37	-1.6			-18.47		-57.31	10.12
112	5.85	-1.12			-18.8		-55.18	11.83
113	6.53	-1.79	5.2	-2.61	-19.37	-20.66	-55.23	10.93
114	5.25	-2.18	5.03	3.86	-19.22	-21.24	-55.19	9.5
115		-2.19	5.32	3.41		-18.81
116		-2.19	7.02	3.64		-16.05
117				4.69	-19.61	-20.39	-55.13	7.88	{"person":"mark_zuckerberg", "desc":"Announces Native App Revamp","link":"http://venturebeat.com/2012/09/11/facebooks-zuckerberg-the-biggest-mistake-weve-made-as-a-company-is-betting-on-html5-over-native/"}
118	4.46	-0.63			-17.76		-53.66	7.15	{"person":"tim_cook", "desc":"Patent Victory Over Android","link":"http://mashable.com/2011/12/19/apple-patent-victory/#8EWD8GTwmukW"}
119	4.99	-0.25	6.77		-18.79		-50.24	7.2
120	4.87	0.89	5.54		-18.81	-15.4	-51.41	8.23
